ChildID,Article,Area,AreaName
ShortArticleID454,ArticleID454,AreaID01,MachineLearning(ML)
ShortArticleID456,ArticleID456,AreaID02,DataScience
ShortArticleID465,ArticleID465,AreaID03,ComputerVision
ShortArticleID468,ArticleID468,AreaID04,NaturalLanguageProcessing(NLP)
ShortArticleID472,ArticleID472,AreaID05,Robotics
ShortArticleID474,ArticleID474,AreaID06,ArtificialIntelligence(AI)
ShortArticleID476,ArticleID476,AreaID07,Cybersecurity
ShortArticleID485,ArticleID485,AreaID08,NetworkScience
ShortArticleID488,ArticleID488,AreaID09,ComputationalBiology
ShortArticleID492,ArticleID492,AreaID10,QuantumComputing
ShortArticleID494,ArticleID494,AreaID11,Human-ComputerInteraction(HCI)
ShortArticleID496,ArticleID496,AreaID12,Bioinformatics
ShortArticleID506,ArticleID506,AreaID13,DataMining
ShortArticleID507,ArticleID507,AreaID14,GameDevelopment
ShortArticleID508,ArticleID508,AreaID15,SoftwareEngineering
ShortArticleID509,ArticleID509,AreaID16,Geomatics
ShortArticleID510,ArticleID510,AreaID17,ElectricalEngineering
ShortArticleID526,ArticleID526,AreaID18,CivilEngineering
ShortArticleID527,ArticleID527,AreaID19,AerospaceEngineering
ShortArticleID528,ArticleID528,AreaID20,ChemicalEngineering
ShortArticleID529,ArticleID529,AreaID21,MaterialsScience
ShortArticleID530,ArticleID530,AreaID22,Mathematics
ShortArticleID541,ArticleID541,AreaID23,Statistics
ShortArticleID543,ArticleID543,AreaID24,Physics
ShortArticleID550,ArticleID550,AreaID25,AstronomyandAstrophysics
ShortArticleID552,ArticleID552,AreaID26,Databases
ShortArticleID559,ArticleID559,AreaID01,MachineLearning(ML)
ShortArticleID561,ArticleID561,AreaID02,DataScience
ShortArticleID563,ArticleID563,AreaID03,ComputerVision
ShortArticleID578,ArticleID578,AreaID04,NaturalLanguageProcessing(NLP)
ShortArticleID579,ArticleID579,AreaID05,Robotics
ShortArticleID580,ArticleID580,AreaID06,ArtificialIntelligence(AI)
ShortArticleID581,ArticleID581,AreaID07,Cybersecurity
ShortArticleID582,ArticleID582,AreaID08,NetworkScience
ShortArticleID598,ArticleID598,AreaID09,ComputationalBiology
ShortArticleID599,ArticleID599,AreaID10,QuantumComputing
ShortArticleID600,ArticleID600,AreaID11,Human-ComputerInteraction(HCI)
ShortArticleID601,ArticleID601,AreaID12,Bioinformatics
ShortArticleID602,ArticleID602,AreaID13,DataMining
ShortArticleID618,ArticleID618,AreaID14,GameDevelopment
ShortArticleID619,ArticleID619,AreaID15,SoftwareEngineering
ShortArticleID620,ArticleID620,AreaID16,Geomatics
ShortArticleID621,ArticleID621,AreaID17,ElectricalEngineering
ShortArticleID622,ArticleID622,AreaID18,CivilEngineering
ShortArticleID631,ArticleID631,AreaID19,AerospaceEngineering
ShortArticleID638,ArticleID638,AreaID20,ChemicalEngineering
ShortArticleID639,ArticleID639,AreaID21,MaterialsScience
ShortArticleID640,ArticleID640,AreaID22,Mathematics
ShortArticleID647,ArticleID647,AreaID23,Statistics
ShortArticleID651,ArticleID651,AreaID24,Physics
ShortArticleID658,ArticleID658,AreaID25,AstronomyandAstrophysics
ShortArticleID659,ArticleID659,AreaID26,Databases
ShortArticleID660,ArticleID660,AreaID01,MachineLearning(ML)
ShortArticleID667,ArticleID667,AreaID02,DataScience
ShortArticleID671,ArticleID671,AreaID03,ComputerVision
ShortArticleID678,ArticleID678,AreaID04,NaturalLanguageProcessing(NLP)
ShortArticleID679,ArticleID679,AreaID05,Robotics
ShortArticleID680,ArticleID680,AreaID06,ArtificialIntelligence(AI)
ShortArticleID689,ArticleID689,AreaID07,Cybersecurity
ShortArticleID693,ArticleID693,AreaID08,NetworkScience
ShortArticleID695,ArticleID695,AreaID09,ComputationalBiology
ShortArticleID696,ArticleID696,AreaID10,QuantumComputing
ShortArticleID702,ArticleID702,AreaID11,Human-ComputerInteraction(HCI)
ShortArticleID709,ArticleID709,AreaID12,Bioinformatics
ShortArticleID713,ArticleID713,AreaID13,DataMining
ShortArticleID715,ArticleID715,AreaID14,GameDevelopment
ShortArticleID716,ArticleID716,AreaID15,SoftwareEngineering
ShortArticleID722,ArticleID722,AreaID16,Geomatics
ShortArticleID729,ArticleID729,AreaID17,ElectricalEngineering
ShortArticleID733,ArticleID733,AreaID18,CivilEngineering
ShortArticleID735,ArticleID735,AreaID19,AerospaceEngineering
ShortArticleID736,ArticleID736,AreaID20,ChemicalEngineering
ShortArticleID744,ArticleID744,AreaID21,MaterialsScience
ShortArticleID751,ArticleID751,AreaID22,Mathematics
ShortArticleID752,ArticleID752,AreaID23,Statistics
ShortArticleID753,ArticleID753,AreaID24,Physics
ShortArticleID755,ArticleID755,AreaID25,AstronomyandAstrophysics
ShortArticleID764,ArticleID764,AreaID26,Databases
ShortArticleID771,ArticleID771,AreaID01,MachineLearning(ML)
ShortArticleID772,ArticleID772,AreaID02,DataScience
ShortArticleID773,ArticleID773,AreaID03,ComputerVision
ShortArticleID775,ArticleID775,AreaID04,NaturalLanguageProcessing(NLP)
ShortArticleID782,ArticleID782,AreaID05,Robotics
ShortArticleID786,ArticleID786,AreaID06,ArtificialIntelligence(AI)
ShortArticleID790,ArticleID790,AreaID07,Cybersecurity
ShortArticleID794,ArticleID794,AreaID08,NetworkScience
ShortArticleID798,ArticleID798,AreaID09,ComputationalBiology
ShortArticleID802,ArticleID802,AreaID10,QuantumComputing
ShortArticleID806,ArticleID806,AreaID11,Human-ComputerInteraction(HCI)
ShortArticleID810,ArticleID810,AreaID12,Bioinformatics
ShortArticleID814,ArticleID814,AreaID13,DataMining
ShortArticleID818,ArticleID818,AreaID14,GameDevelopment
ShortArticleID822,ArticleID822,AreaID15,SoftwareEngineering
ShortArticleID826,ArticleID826,AreaID16,Geomatics
ShortArticleID830,ArticleID830,AreaID17,ElectricalEngineering
ShortArticleID834,ArticleID834,AreaID18,CivilEngineering
ShortArticleID838,ArticleID838,AreaID19,AerospaceEngineering
ShortArticleID842,ArticleID842,AreaID20,ChemicalEngineering
ShortArticleID845,ArticleID845,AreaID21,MaterialsScience
ShortArticleID848,ArticleID848,AreaID22,Mathematics
ShortArticleID852,ArticleID852,AreaID23,Statistics
ShortArticleID854,ArticleID854,AreaID24,Physics
ShortArticleID856,ArticleID856,AreaID25,AstronomyandAstrophysics
ShortArticleID865,ArticleID865,AreaID26,Databases
ShortArticleID868,ArticleID868,AreaID01,MachineLearning(ML)
ShortArticleID872,ArticleID872,AreaID02,DataScience
ShortArticleID874,ArticleID874,AreaID03,ComputerVision
ShortArticleID876,ArticleID876,AreaID04,NaturalLanguageProcessing(NLP)
ShortArticleID885,ArticleID885,AreaID05,Robotics
ShortArticleID888,ArticleID888,AreaID06,ArtificialIntelligence(AI)
FullArticleID457,ArticleID457,AreaID07,Cybersecurity
FullArticleID459,ArticleID459,AreaID08,NetworkScience
FullArticleID461,ArticleID461,AreaID09,ComputationalBiology
FullArticleID470,ArticleID470,AreaID10,QuantumComputing
FullArticleID473,ArticleID473,AreaID11,Human-ComputerInteraction(HCI)
FullArticleID477,ArticleID477,AreaID12,Bioinformatics
FullArticleID479,ArticleID479,AreaID13,DataMining
FullArticleID481,ArticleID481,AreaID14,GameDevelopment
FullArticleID490,ArticleID490,AreaID15,SoftwareEngineering
FullArticleID493,ArticleID493,AreaID16,Geomatics
FullArticleID497,ArticleID497,AreaID17,ElectricalEngineering
FullArticleID499,ArticleID499,AreaID18,CivilEngineering
FullArticleID511,ArticleID511,AreaID19,AerospaceEngineering
FullArticleID512,ArticleID512,AreaID20,ChemicalEngineering
FullArticleID513,ArticleID513,AreaID21,MaterialsScience
FullArticleID514,ArticleID514,AreaID22,Mathematics
FullArticleID515,ArticleID515,AreaID23,Statistics
FullArticleID531,ArticleID531,AreaID24,Physics
FullArticleID532,ArticleID532,AreaID25,AstronomyandAstrophysics
FullArticleID533,ArticleID533,AreaID26,Databases
FullArticleID534,ArticleID534,AreaID01,MachineLearning(ML)
FullArticleID535,ArticleID535,AreaID02,DataScience
FullArticleID544,ArticleID544,AreaID03,ComputerVision
FullArticleID546,ArticleID546,AreaID04,NaturalLanguageProcessing(NLP)
FullArticleID548,ArticleID548,AreaID05,Robotics
FullArticleID555,ArticleID555,AreaID06,ArtificialIntelligence(AI)
FullArticleID557,ArticleID557,AreaID07,Cybersecurity
FullArticleID564,ArticleID564,AreaID08,NetworkScience
FullArticleID566,ArticleID566,AreaID09,ComputationalBiology
FullArticleID583,ArticleID583,AreaID10,QuantumComputing
FullArticleID584,ArticleID584,AreaID11,Human-ComputerInteraction(HCI)
FullArticleID585,ArticleID585,AreaID12,Bioinformatics
FullArticleID586,ArticleID586,AreaID13,DataMining
FullArticleID587,ArticleID587,AreaID14,GameDevelopment
FullArticleID603,ArticleID603,AreaID15,SoftwareEngineering
FullArticleID604,ArticleID604,AreaID16,Geomatics
FullArticleID605,ArticleID605,AreaID17,ElectricalEngineering
FullArticleID606,ArticleID606,AreaID18,CivilEngineering
FullArticleID607,ArticleID607,AreaID19,AerospaceEngineering
FullArticleID623,ArticleID623,AreaID20,ChemicalEngineering
FullArticleID624,ArticleID624,AreaID21,MaterialsScience
FullArticleID625,ArticleID625,AreaID22,Mathematics
FullArticleID626,ArticleID626,AreaID23,Statistics
FullArticleID627,ArticleID627,AreaID24,Physics
FullArticleID632,ArticleID632,AreaID25,AstronomyandAstrophysics
FullArticleID636,ArticleID636,AreaID26,Databases
FullArticleID643,ArticleID643,AreaID01,MachineLearning(ML)
FullArticleID644,ArticleID644,AreaID02,DataScience
FullArticleID645,ArticleID645,AreaID03,ComputerVision
