LinkID,DemoPaper,Article,Title,Author,Name,Venue,VenueName,Journal,Volume,Handler,StartDate
www.AIAA Journal.com/ArticleID002,DemoArticleID002,ArticleID002,A usability study of four secure email tools using paired participants,AuthorID002,Nysetvold T.B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 2,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID003,DemoArticleID003,ArticleID003,Biocompatible PEGDA Resin for 3D Printing,AuthorID003,Afran M.S.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID004,DemoArticleID004,ArticleID004,High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,AuthorID004,Vaughn A.B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID005,DemoArticleID005,ArticleID005,Fabrication of High Aspect Ratio Millimeter-Tall Free-Standing Carbon Nanotube-Based Microelectrode Arrays,AuthorID005,Rice M.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID011,DemoArticleID011,ArticleID011,Effect of nozzleâ€“plate distance on acoustic phenomena from supersonic impinging jet,AuthorID011,McDonnell T.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 1,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID015,DemoArticleID015,ArticleID015,Nano-Composite Foam Sensor System in Football Helmets,AuthorID015,Zhang W.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID019,DemoArticleID019,ArticleID019,Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,AuthorID019,Pehrson N.A.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID020,DemoArticleID020,ArticleID020,Non-catalytic ash effect on char reactivity,AuthorID020,Lee J.H.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID022,DemoArticleID022,ArticleID022,Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics,AuthorID022,Seng F.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 2,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID023,DemoArticleID023,ArticleID023,Structure descriptor based on just noticeable difference for texture image classification,AuthorID023,Jain P.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID026,DemoArticleID026,ArticleID026,Light splitting with imperfect wave plates,AuthorID026,Goode T.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 1,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID033,DemoArticleID033,ArticleID033,A New Boundary Harnack Principle (Equations with Right Hand Side),AuthorID033,Baker N.F.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID034,DemoArticleID034,ArticleID034,Target control and source estimation metrics for dynamical networks,AuthorID034,Unrau M.A.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID036,DemoArticleID036,ArticleID036,Polyethylene Glycol Based Changes to Î²-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location,AuthorID036,Manning A.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 1,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID038,DemoArticleID038,ArticleID038,3D printed selectable dilution mixer pumps,AuthorID038,Smiley A.J.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID042,DemoArticleID042,ArticleID042,Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings,AuthorID042,Villalon-Reina J.E.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 2,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID048,DemoArticleID048,ArticleID048,The AFLOW Library of Crystallographic Prototypes: Part 1,AuthorID048,Redd B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID049,DemoArticleID049,ArticleID049,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,AuthorID049,Sayre A.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID053,DemoArticleID053,ArticleID053,Efficiency of Generalized Regular k-point grids,AuthorID003,Afran M.S.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID054,DemoArticleID054,ArticleID054,Atomistic survey of grain boundary-dislocation interactions in FCC nickel,AuthorID004,Vaughn A.B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID058,DemoArticleID058,ArticleID058,Isogeometric BÃ©zier dual mortaring: The enriched BÃ©zier dual basis with application to second- and fourth-order problems,AuthorID008,Neff C.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
www.AIAA Journal.com/ArticleID060,DemoArticleID060,ArticleID060,Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,AuthorID010,Dryer Z.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
www.AIAA Journal.com/ArticleID062,DemoArticleID062,ArticleID062,BÃ©zier BÌ„ projection,AuthorID012,Libano F.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 2,HandlerID001,01/02/1990
www.IEEE Robotics and Automation Letters.com/ArticleID065,DemoArticleID065,ArticleID065,"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD",AuthorID015,Zhang W.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 1,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID066,DemoArticleID066,ArticleID066,Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts,AuthorID016,Sargent B.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 2,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID067,DemoArticleID067,ArticleID067,Hybrid state transactional database for product lifecycle management features in a multi-engineer synchronous heterogeneous CAD environment,AuthorID017,Bahari M.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 3,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID068,DemoArticleID068,ArticleID068,Exploration and evaluation of CAD modeling in virtual reality,AuthorID018,Rogers W.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 4,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID070,DemoArticleID070,ArticleID070,Analysis and evaluation of partitioning techniques for multi-user CAD,AuthorID020,Lee J.H.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 1,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID073,DemoArticleID073,ArticleID073,A CAD assembly simplification approach with ray casting,AuthorID023,Jain P.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 4,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID078,DemoArticleID078,ArticleID078,Using a Product's Sustainability Space as a Design Exploration Tool,AuthorID028,Farnsworth C.B.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 4,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID079,DemoArticleID079,ArticleID079,The design critique and the moral goods of studio pedagogy,AuthorID029,Wu R.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 5,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID083,DemoArticleID083,ArticleID083,Interleaving physics- and data-driven models for power system transient dynamics,AuthorID033,Baker N.F.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 4,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID085,DemoArticleID085,ArticleID085,Smart camera for quality inspection and grading of food products,AuthorID035,Frazer D.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 1,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID088,DemoArticleID088,ArticleID088,Hardware friendly robust synthetic basis feature descriptor,AuthorID038,Smiley A.J.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 4,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID089,DemoArticleID089,ArticleID089,Ground-based 3D radar imaging of trees using a 2D synthetic aperture,AuthorID039,Ni Q.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 5,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID091,DemoArticleID091,ArticleID091,Optimising the design of phased array feeds for survey speed,AuthorID041,Loiseau J.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 2,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID094,DemoArticleID094,ArticleID094,Flexural strength and stiffness of block-out connections for steel columns,AuthorID044,Fujimoto M.S.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 5,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID095,DemoArticleID095,ArticleID095,Analytical fragility curves for non-skewed highway bridges in Chile,AuthorID045,Safdari M.-S.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 1,HandlerID003,09/06/1997
www.IEEE Robotics and Automation Letters.com/ArticleID099,DemoArticleID099,ArticleID099,Carlitzâ€“Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,AuthorID049,Sayre A.,VJID002,IEEE Robotics and Automation Letters,JID002,IEEE RAL Vol 5,HandlerID003,09/06/1997
