Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,NumExperts,ExpertsGroup,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID468",ShortArticleID468,ArticleID468,Preliminary investigation of multilobe fighter jet noise sources using acoustical holography,AuthorID199, Alcock C.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID472",ShortArticleID472,ArticleID472,Acoustic shock formation in noise propagation during ground run-up operations of military aircraft,AuthorID203, Anagnostou E.N.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 4,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID476",ShortArticleID476,ArticleID476,Feedback regulation of immune response to maximum exercise in Gulf war illness,AuthorID207, Baird S.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 3,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID485",ShortArticleID485,ArticleID485,Three-way spectral decompositions of high-performance military aircraft noise,AuthorID216, Beard R.W.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 2,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID488",ShortArticleID488,ArticleID488,The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,AuthorID219, Besendorfer J.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID492",ShortArticleID492,ArticleID492,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,AuthorID223, Black J.A.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 4,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID496",ShortArticleID496,ArticleID496,Highly compressible origami bellows for microgravity drilling-debris containment,AuthorID227, Boardman B.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 3,HandlerID008,08/05/1989
,,,,9,FullArticleID457,,,ArticleID457,Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,AuthorID188,Chen G.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 4,HandlerID008,08/05/1989
,,,,12,FullArticleID459,,,ArticleID459,Data classification and parameter identification in power systems by manifold learning,AuthorID190,Poornejad N.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 1,HandlerID008,08/05/1989
,,,,19,FullArticleID461,,,ArticleID461,Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,AuthorID192,Penner J.F.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 3,HandlerID008,08/05/1989
,,,,3,FullArticleID470,,,ArticleID470,Characterization of supersonic laboratory-scale jet noise with vector acoustic intensity,AuthorID201, Alejandro A.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 2,HandlerID008,08/05/1989
,,,,20,FullArticleID473,,,ArticleID473,Crackle-related beamforming of military jet aircraft noise,AuthorID204, Annoni J.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,,,6,FullArticleID477,,,ArticleID477,Swarm Transparency,AuthorID208, Baliyarasimhuni S.P.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 4,HandlerID008,08/05/1989
,,,,13,FullArticleID490,,,ArticleID490,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,AuthorID221, Bidstrup C.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 2,HandlerID008,08/05/1989
