NumOfChapters,FullPaper,Article,Title,Author,Name,Venue,VenueName,Journal,Volume,Handler,StartDate
8,FullArticleID006,ArticleID006,The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation,AuthorID006,Rajnarayan D.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 1,HandlerID001,01/02/1990
3,FullArticleID008,ArticleID008,Self-Sustaining 3D Thin Liquid Films in Ambient Environments,AuthorID008,Neff C.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
11,FullArticleID009,ArticleID009,The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,AuthorID009,Neilsen T.B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
11,FullArticleID010,ArticleID010,Traverses for the ISECG-GER design reference mission for humans on the lunar surface,AuthorID010,Dryer Z.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
10,FullArticleID017,ArticleID017,Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking,AuthorID017,Bahari M.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 2,HandlerID001,01/02/1990
4,FullArticleID018,ArticleID018,Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,AuthorID018,Rogers W.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
7,FullArticleID024,ArticleID024,Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna,AuthorID024,Arabian F.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 4,HandlerID002,12/03/2006
10,FullArticleID028,ArticleID028,Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,AuthorID028,Farnsworth C.B.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 3,HandlerID001,01/02/1990
11,FullArticleID030,ArticleID030,From lignocellulose to biocomposite: Multi-level modelling and experimental investigation of the thermal properties of kenaf fiber reinforced composites based on constituent materials,AuthorID030,Dromey C.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
7,FullArticleID040,ArticleID040,Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus,AuthorID040,Zou Z.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 5,HandlerID002,12/03/2006
3,FullArticleID041,ArticleID041,CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,AuthorID041,Loiseau J.,VJID001,AIAA Journal,JID001,AIAA Journal Vol 1,HandlerID001,01/02/1990
