ChildID,Article,PaperArticle,NumPages
DemoArticleID002,ArticleID002,GArticleID002,8
DemoArticleID003,ArticleID003,GArticleID003,38
DemoArticleID004,ArticleID004,GArticleID004,3
DemoArticleID005,ArticleID005,GArticleID005,4
DemoArticleID011,ArticleID011,GArticleID011,38
DemoArticleID015,ArticleID015,GArticleID015,4
DemoArticleID019,ArticleID019,GArticleID019,8
DemoArticleID020,ArticleID020,GArticleID020,2
DemoArticleID022,ArticleID022,GArticleID022,20
DemoArticleID023,ArticleID023,GArticleID023,37
DemoArticleID026,ArticleID026,GArticleID026,1
DemoArticleID033,ArticleID033,GArticleID033,39
DemoArticleID034,ArticleID034,GArticleID034,16
DemoArticleID036,ArticleID036,GArticleID036,25
DemoArticleID038,ArticleID038,GArticleID038,39
DemoArticleID042,ArticleID042,GArticleID042,32
DemoArticleID048,ArticleID048,GArticleID048,31
DemoArticleID049,ArticleID049,GArticleID049,11
DemoArticleID053,ArticleID053,GArticleID053,38
DemoArticleID054,ArticleID054,GArticleID054,22
DemoArticleID058,ArticleID058,GArticleID058,37
DemoArticleID060,ArticleID060,GArticleID060,40
DemoArticleID062,ArticleID062,GArticleID062,30
DemoArticleID065,ArticleID065,GArticleID065,33
DemoArticleID066,ArticleID066,GArticleID066,10
DemoArticleID067,ArticleID067,GArticleID067,23
DemoArticleID068,ArticleID068,GArticleID068,4
DemoArticleID070,ArticleID070,GArticleID070,33
DemoArticleID073,ArticleID073,GArticleID073,30
DemoArticleID078,ArticleID078,GArticleID078,25
DemoArticleID079,ArticleID079,GArticleID079,39
DemoArticleID083,ArticleID083,GArticleID083,39
DemoArticleID085,ArticleID085,GArticleID085,27
DemoArticleID088,ArticleID088,GArticleID088,30
DemoArticleID089,ArticleID089,GArticleID089,26
DemoArticleID091,ArticleID091,GArticleID091,13
DemoArticleID094,ArticleID094,GArticleID094,1
DemoArticleID095,ArticleID095,GArticleID095,2
DemoArticleID099,ArticleID099,GArticleID099,39
DemoArticleID101,ArticleID101,GArticleID101,39
DemoArticleID108,ArticleID108,GArticleID108,15
DemoArticleID109,ArticleID109,GArticleID109,26
DemoArticleID112,ArticleID112,GArticleID112,16
DemoArticleID113,ArticleID113,GArticleID113,4
DemoArticleID114,ArticleID114,GArticleID114,13
DemoArticleID119,ArticleID119,GArticleID119,11
DemoArticleID121,ArticleID121,GArticleID121,27
DemoArticleID129,ArticleID129,GArticleID129,30
DemoArticleID138,ArticleID138,GArticleID138,38
DemoArticleID139,ArticleID139,GArticleID139,37
DemoArticleID154,ArticleID154,GArticleID154,17
DemoArticleID159,ArticleID159,GArticleID159,11
DemoArticleID166,ArticleID166,GArticleID166,34
DemoArticleID169,ArticleID169,GArticleID169,23
DemoArticleID170,ArticleID170,GArticleID170,10
DemoArticleID175,ArticleID175,GArticleID175,20
DemoArticleID178,ArticleID178,GArticleID178,16
DemoArticleID190,ArticleID190,GArticleID190,23
DemoArticleID191,ArticleID191,GArticleID191,32
DemoArticleID196,ArticleID196,GArticleID196,7
DemoArticleID198,ArticleID198,GArticleID198,14
DemoArticleID203,ArticleID203,GArticleID203,11
DemoArticleID205,ArticleID205,GArticleID205,28
DemoArticleID207,ArticleID207,GArticleID207,21
DemoArticleID208,ArticleID208,GArticleID208,7
DemoArticleID211,ArticleID211,GArticleID211,7
DemoArticleID216,ArticleID216,GArticleID216,13
DemoArticleID217,ArticleID217,GArticleID217,35
DemoArticleID222,ArticleID222,GArticleID222,2
DemoArticleID229,ArticleID229,GArticleID229,11
DemoArticleID230,ArticleID230,GArticleID230,21
DemoArticleID231,ArticleID231,GArticleID231,16
DemoArticleID232,ArticleID232,GArticleID232,37
DemoArticleID233,ArticleID233,GArticleID233,12
DemoArticleID235,ArticleID235,GArticleID235,6
DemoArticleID241,ArticleID241,GArticleID241,2
DemoArticleID245,ArticleID245,GArticleID245,16
DemoArticleID247,ArticleID247,GArticleID247,38
DemoArticleID249,ArticleID249,GArticleID249,39
DemoArticleID250,ArticleID250,GArticleID250,22
DemoArticleID251,ArticleID251,GArticleID251,36
DemoArticleID252,ArticleID252,GArticleID252,7
DemoArticleID253,ArticleID253,GArticleID253,19
DemoArticleID255,ArticleID255,GArticleID255,33
DemoArticleID260,ArticleID260,GArticleID260,4
