Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,Address,RegularConference,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID508",ShortArticleID508,ArticleID508,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry,AuthorID239, Bundy B.C.,"Alegria 9, Medellin, COL",RCID015,VCID015,International Conference on Emerging Trends in Computer Science and Information Technology (ICETCSIT),CID015,ICETCSIT Ed 1,HandlerID021,12/07/1999
,,www.Advances in Intelligent Systems and Computing.com/DemoArticleID517,DemoArticleID517,,,,,ArticleID517,Eliminating wiring in aircraft instrumentation through energy harvesting,AuthorID248, Carlson B.,"Alegria 9, Medellin, COL",RCID015,VCID015,International Conference on Emerging Trends in Computer Science and Information Technology (ICETCSIT),CID015,ICETCSIT Ed 1,HandlerID021,12/07/1999
,,www.Advances in Intelligent Systems and Computing.com/DemoArticleID520,DemoArticleID520,,,,,ArticleID520,Cfo estimation by exploiting channel sparsity in aeronautical telemetry,AuthorID251, Carsley J.E.,"Alegria 9, Medellin, COL",RCID015,VCID015,International Conference on Emerging Trends in Computer Science and Information Technology (ICETCSIT),CID015,ICETCSIT Ed 1,HandlerID021,12/07/1999
,,www.Advances in Intelligent Systems and Computing.com/DemoArticleID537,DemoArticleID537,,,,,ArticleID537,Thermal diffusivity measurements with fluorescent scanning microscope,AuthorID268, Clinton R.,"Alegria 9, Medellin, COL",RCID015,VCID015,International Conference on Emerging Trends in Computer Science and Information Technology (ICETCSIT),CID015,ICETCSIT Ed 1,HandlerID021,12/07/1999
24,PosterArticleID525,,,,,,,ArticleID525,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,AuthorID256, Charles S.K.,"Alegria 9, Medellin, COL",RCID015,VCID015,International Conference on Emerging Trends in Computer Science and Information Technology (ICETCSIT),CID015,ICETCSIT Ed 1,HandlerID021,12/07/1999
,,,,21,FullArticleID511,,,ArticleID511,Optimizing coded 16-APSK for aeronautical mobile telemetry,AuthorID242, Bush D.B.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 1,HandlerID018,12/09/1999
,,,,14,FullArticleID512,,,ArticleID512,On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,AuthorID243, Calvopiña D.G.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 2,HandlerID018,12/09/1999
,,,,29,FullArticleID532,,,ArticleID532,Improved bottomhole pressure control with wired drillpipe and physics-based models,AuthorID263, Chou Y.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 3,HandlerID018,12/09/1999
,,www.Advances in Intelligent Systems and Computing.com/DemoArticleID518,DemoArticleID518,,,,,ArticleID518,Doppler power spectra from vehicle-to-everything propagation experiments,AuthorID249, Carsley J.E.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 2,HandlerID018,12/09/1999
,,www.Advances in Intelligent Systems and Computing.com/DemoArticleID536,DemoArticleID536,,,,,ArticleID536,Feasibility of induced pluripotent stem cell therapies for treatment of type 1 diabetes,AuthorID267, Claussen S.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 1,HandlerID018,12/09/1999
26,PosterArticleID501,,,,,,,ArticleID501,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,AuthorID232, Borden M.J.,"Arago 224, BCN",RCID012,VCID012,International Conference on Mathematics and Computer Science (ICMCS),CID012,ICMCS Ed 1,HandlerID018,12/09/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID506",ShortArticleID506,ArticleID506,"Active Topology Inference in Store, Code, and Forward Networks",AuthorID237, Brock Kirwan C.,"Bld General Jacques, Brussels, 226",RCID002,VCID002,Advances in Intelligent Systems and Computing,CID002,AISC Ed 1,HandlerID009,02/09/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID507",ShortArticleID507,ArticleID507,Unification of signal models for soqpsk,AuthorID238, Brueseke M.,"Bld General Jacques, Brussels, 226",RCID002,VCID002,Advances in Intelligent Systems and Computing,CID002,AISC Ed 2,HandlerID009,02/09/1999
