ShortAbstract	ShortPaper	Article	Title	Author	Name	Venue	VenueName	Journal	Volume	Handler	StartDate
"Abstract:3D printed high density, reversible, chip-to-chip microfluidic interconnects ..."	ShortArticleID325	ArticleID325	"3D printed high density, reversible, chip-to-chip microfluidic interconnects"	AuthorID075	Guo C.	VJID004	JOM	JID004	JOM Vol 5	HandlerID006	04/23/2015
Abstract:A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows ...	ShortArticleID064	ArticleID064	A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows	AuthorID014	Laycock R.G.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 4	HandlerID002	12/03/2006
Abstract:A comparative analysis of computer-aided design team performance with collaboration software ...	ShortArticleID072	ArticleID072	A comparative analysis of computer-aided design team performance with collaboration software	AuthorID022	Seng F.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 3	HandlerID003	09/06/1997
Abstract:A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier ...	ShortArticleID021	ArticleID021	A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier	AuthorID021	Pehrson N.A.	VJID001	AIAA Journal	JID001	AIAA Journal Vol 1	HandlerID001	01/02/1990
Abstract:A dual sensor selective for Hg2+ and cysteine detection ...	ShortArticleID434	ArticleID434	A dual sensor selective for Hg2+ and cysteine detection	AuthorID184	Mattson C.A.	VJID005	OSA Continuum	JID005	OSAC Vol 6	HandlerID007	05/09/1993
Abstract:A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation ...	ShortArticleID148	ArticleID148	A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation	AuthorID048	Redd B.	VJID003	International Journal of Technology and Design Education	JID003	IJTDE Vol 3	HandlerID004	11/11/2000
Abstract:A model for multi-input mechanical advantage in origami-based mechanisms ...	ShortArticleID292	ArticleID292	A model for multi-input mechanical advantage in origami-based mechanisms	AuthorID042	Villalon-Reina J.E.	VJID004	JOM	JID004	JOM Vol 4	HandlerID005	07/12/1987
Abstract:A neutral XML design framework for generating parametric parts in multiple CAD systems ...	ShortArticleID071	ArticleID071	A neutral XML design framework for generating parametric parts in multiple CAD systems	AuthorID021	Pehrson N.A.	VJID002	IEEE Robotics and Automation Letters	JID002	IEEE RAL Vol 2	HandlerID003	09/06/1997
Abstract:A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks ...	ShortArticleID425	ArticleID425	A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks	AuthorID175	Rodríguez E.	VJID005	OSA Continuum	JID005	OSAC Vol 2	HandlerID007	05/09/1993
Abstract:A robust ensemble feature selector based on rank aggregation for developing new VO2max prediction models using support vector machines ...	ShortArticleID453	ArticleID453	A robust ensemble feature selector based on rank aggregation for developing new VO2max prediction models using support vector machines	AuthorID056	Rossiter J.A.	VJID005	OSA Continuum	JID005	OSAC Vol 4	HandlerID007	05/09/1993
