Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,Subject,Symposium,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,21,FullArticleID857,,,ArticleID857,Demonstration of interference pattern structured illumination imaging,AuthorID588, Schmidt H.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID862,DemoArticleID862,,,,,ArticleID862,Benchmarking your break rates: A review of new findings and trends from north American water main break studies,AuthorID593, Schmidt H.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID882,DemoArticleID882,,,,,ArticleID882,Designing emergent swarm behaviors using behavior trees and grammatical evolution,AuthorID613, Smalley D.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
28,PosterArticleID847,,,,,,,ArticleID847,Progress on photophoretic trap displays,AuthorID578, Saito M.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
29,PosterArticleID867,,,,,,,ArticleID867,"Adapting standard external clustering metrics for repetitive, noisy observations",AuthorID598, Scott M.A.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
5,PosterArticleID887,,,,,,,ArticleID887,Locally correlated slw model for prediction of gas radiation in non-uniform media,AuthorID618, Smith T.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID541",ShortArticleID541,ArticleID541,Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,AuthorID272, Cosner R.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID543",ShortArticleID543,ArticleID543,A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering,AuthorID274, Crane N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID550",ShortArticleID550,ArticleID550,Project-based learning curriculum for the junior year based on building a laser tag system,AuthorID281, Dahlin E.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID552",ShortArticleID552,ArticleID552,Lowman's model goes back to the movies,AuthorID283, Dahlin E.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID559",ShortArticleID559,ArticleID559,Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction,AuthorID290, Eggett D.L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID561",ShortArticleID561,ArticleID561,Cross platform usability: Evaluating computing tasks performed on multiple platforms,AuthorID292, Eggett D.L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID563",ShortArticleID563,ArticleID563,Assessment of a global engineering outreach course,AuthorID294, Elmqvist N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,,,18,FullArticleID544,,,ArticleID544,Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),AuthorID275, Crane N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
