Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,NumberOfDays,Workshop,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID578",ShortArticleID578,ArticleID578,New uses of instagram in design history education,AuthorID309, Fletcher T.H.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID579",ShortArticleID579,ArticleID579,"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",AuthorID310, Fonseca F.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID580",ShortArticleID580,ArticleID580,Exploring play interventions in design education,AuthorID311, Franca F.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID581",ShortArticleID581,ArticleID581,TrustBase: An architecture to repair and strengthen certificate-based authentication,AuthorID312, Franca F.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID598",ShortArticleID598,ArticleID598,Simulation of a micro-electro-mechanical system for generating electrical power from pressurized gas,AuthorID329, Garcia E.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID599",ShortArticleID599,ArticleID599,Rigidly foldable thick origami using designed-offset linkages,AuthorID330, Gaskin J.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID600",ShortArticleID600,ArticleID600,Retractable anti-buckling support systems for flexible medical devices,AuthorID331, Geiger D.W.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID618",ShortArticleID618,ArticleID618,Characteristics of self-deployment in origami-based systems,AuthorID349, Harrison W.K.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID619",ShortArticleID619,ArticleID619,Benefits of a short-term engineering study abroad: A survey of students over the past 15 years,AuthorID350, Hart G.L.W.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID620",ShortArticleID620,ArticleID620,Automating the design of thick-origami mechanisms,AuthorID351, Hart G.L.W.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,13,FullArticleID583,,,ArticleID583,Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,AuthorID314, Fredriksson C.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,14,FullArticleID584,,,ArticleID584,Visual Multiple Target Tracking from a Descending Aerial Platform,AuthorID315, Fredriksson C.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,27,FullArticleID585,,,ArticleID585,Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,AuthorID316, Freedman D.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,3,FullArticleID586,,,ArticleID586,State-Dependent LQR Control for a Tilt-Rotor UAV,AuthorID317, Frei M.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,,,3,FullArticleID603,,,ArticleID603,Patterned carbon nanotube growth on stainless steel,AuthorID334, Gneiting S.A.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,15,FullArticleID604,,,ArticleID604,Optimization of origami-based tubes for lightweight deployable structures,AuthorID335, Goeders J.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,14,FullArticleID605,,,ArticleID605,Machine learning for evaluating the social impact of engineered products: A framework,AuthorID336, Goodrich M.A.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,14,FullArticleID623,,,ArticleID623,A framework for energy-based kinetostatic modeling of compliant mechanisms,AuthorID354, Hasler E.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,,,15,FullArticleID624,,,ArticleID624,Rapid visualization of compressor blade finite element models using surrogate modeling,AuthorID355, Hatch N.W.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,,,18,FullArticleID625,,,ArticleID625,Radial variation in distortion transfer and generation through a highly loaded fan stage,AuthorID356, Hatch N.W.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,,,3,FullArticleID626,,,ArticleID626,Radial variation in distortion transfer and generation in a highly loaded fan stage from near-stall to choke,AuthorID357, Hathaway J.E.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID569,DemoArticleID569,,,,,ArticleID569,Sell it: Design project assessment by the public,AuthorID300, Fernandez D.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
